date,items_circulated,gate_count,total_overdues
Oct.13,474,7053,374
Nov.13,689,18987,280
Dec.13,490,10743,208
Jan.14,518,5076,401
Feb.14,507,19237,203
Mar.14,589,18206,303
Apr.14,500,15919,291
May.14,613,14786,307
Jun.14,605,17675,371
Jul.14,681,20491,419
Aug.14,593,11531,220
Sep.14,506,11821,251
Oct.12,541,14508,319
Nov.12,486,13807,285
Dec.12,397,68358,271
Jan.13,498,13492,421
Feb.13,528,13697,272
Mar.13,467,13683,322
Apr.13,533,16251,316
May.13,491,15728,282
Jun.13,819,16983,339
Jul.13,821,18797,300
Aug.13,834,16048,388
Sep.13,819,14956,303
Oct.11,666,14589,393
Nov.11,619,13807,445
Dec.11,626,14234,404
Jan.12,655,11770,558
Feb.12,735,14269,461
Mar.12,720,15917,470
Apr.12,605,15379,419
May.12,612,15552,447
Jun.12,676,18062,413
Jul.12,729,18860,355
Aug.12,689,16906,442
Sep.12,584,14700,373
Oct.10,756,14598,446
Nov.10,652,13608,514
Dec.10,683,12656,390
Jan.11,762,13303,482
Feb.11,829,12777,398
Mar.11,938,16780,545
Apr.11,791,15608,481
May.11,819,14828,517
Jun.11,820,16178,482
Jul.11,859,16695,382
Aug.11,862,16938,409
Sep.11,779,14971,354
